,algo,anormal_detect,anormal_size,component,gamma,machine,normal_detect,normal_size,nu,sensibilite,specificite,type
94,OSVM,236.0,265.0,2.0,0.001,ToyCar_02,217.0,350.0,0.3958541666666666,0.8905660377358491,0.62,ToyCar
95,OSVM,236.0,265.0,2.0,0.001,ToyCar_02,212.0,350.0,0.4166833333333333,0.8905660377358491,0.6057142857142858,ToyCar
96,OSVM,237.0,265.0,2.0,0.001,ToyCar_02,204.0,350.0,0.43751249999999997,0.8943396226415095,0.5828571428571429,ToyCar
97,OSVM,237.0,265.0,2.0,0.001,ToyCar_02,201.0,350.0,0.45834166666666665,0.8943396226415095,0.5742857142857143,ToyCar
98,OSVM,237.0,265.0,2.0,0.001,ToyCar_02,194.0,350.0,0.4791708333333333,0.8943396226415095,0.5542857142857143,ToyCar
99,OSVM,238.0,265.0,2.0,0.001,ToyCar_02,183.0,350.0,0.5,0.8981132075471698,0.5228571428571429,ToyCar
100,OSVM,19.0,355.0,2.0,0.001,ToyConveyor_03,789.0,799.0,0.0001,0.05352112676056338,0.9874843554443054,ToyConveyor
101,OSVM,35.0,355.0,2.0,0.001,ToyConveyor_03,764.0,799.0,0.020929166666666665,0.09859154929577464,0.9561952440550688,ToyConveyor
102,OSVM,41.0,355.0,2.0,0.001,ToyConveyor_03,745.0,799.0,0.041758333333333335,0.11549295774647887,0.932415519399249,ToyConveyor
103,OSVM,45.0,355.0,2.0,0.001,ToyConveyor_03,732.0,799.0,0.0625875,0.1267605633802817,0.9161451814768461,ToyConveyor
104,OSVM,50.0,355.0,2.0,0.001,ToyConveyor_03,705.0,799.0,0.08341666666666667,0.14084507042253522,0.8823529411764706,ToyConveyor
105,OSVM,59.0,355.0,2.0,0.001,ToyConveyor_03,682.0,799.0,0.10424583333333333,0.16619718309859155,0.853566958698373,ToyConveyor
106,OSVM,65.0,355.0,2.0,0.001,ToyConveyor_03,669.0,799.0,0.125075,0.18309859154929578,0.83729662077597,ToyConveyor
107,OSVM,73.0,355.0,2.0,0.001,ToyConveyor_03,657.0,799.0,0.14590416666666664,0.2056338028169014,0.8222778473091364,ToyConveyor
108,OSVM,79.0,355.0,2.0,0.001,ToyConveyor_03,646.0,799.0,0.16673333333333332,0.22253521126760564,0.8085106382978723,ToyConveyor
109,OSVM,88.0,355.0,2.0,0.001,ToyConveyor_03,633.0,799.0,0.1875625,0.24788732394366197,0.7922403003754693,ToyConveyor
110,OSVM,101.0,355.0,2.0,0.001,ToyConveyor_03,614.0,799.0,0.20839166666666664,0.28450704225352114,0.7684605757196495,ToyConveyor
111,OSVM,107.0,355.0,2.0,0.001,ToyConveyor_03,596.0,799.0,0.22922083333333332,0.30140845070422534,0.7459324155193993,ToyConveyor
112,OSVM,117.0,355.0,2.0,0.001,ToyConveyor_03,553.0,799.0,0.25005,0.3295774647887324,0.6921151439299124,ToyConveyor
113,OSVM,123.0,355.0,2.0,0.001,ToyConveyor_03,545.0,799.0,0.27087916666666667,0.3464788732394366,0.6821026282853567,ToyConveyor
114,OSVM,129.0,355.0,2.0,0.001,ToyConveyor_03,529.0,799.0,0.2917083333333333,0.36338028169014086,0.6620775969962454,ToyConveyor
115,OSVM,137.0,355.0,2.0,0.001,ToyConveyor_03,519.0,799.0,0.31253749999999997,0.38591549295774646,0.6495619524405507,ToyConveyor
116,OSVM,149.0,355.0,2.0,0.001,ToyConveyor_03,503.0,799.0,0.33336666666666664,0.4197183098591549,0.6295369211514393,ToyConveyor
117,OSVM,157.0,355.0,2.0,0.001,ToyConveyor_03,484.0,799.0,0.3541958333333333,0.4422535211267606,0.6057571964956195,ToyConveyor
118,OSVM,166.0,355.0,2.0,0.001,ToyConveyor_03,456.0,799.0,0.375025,0.4676056338028169,0.5707133917396746,ToyConveyor
119,OSVM,172.0,355.0,2.0,0.001,ToyConveyor_03,448.0,799.0,0.3958541666666666,0.48450704225352115,0.5607008760951189,ToyConveyor
120,OSVM,182.0,355.0,2.0,0.001,ToyConveyor_03,434.0,799.0,0.4166833333333333,0.5126760563380282,0.5431789737171464,ToyConveyor
121,OSVM,188.0,355.0,2.0,0.001,ToyConveyor_03,418.0,799.0,0.43751249999999997,0.5295774647887324,0.523153942428035,ToyConveyor
122,OSVM,192.0,355.0,2.0,0.001,ToyConveyor_03,403.0,799.0,0.45834166666666665,0.5408450704225352,0.5043804755944932,ToyConveyor
123,OSVM,202.0,355.0,2.0,0.001,ToyConveyor_03,382.0,799.0,0.4791708333333333,0.5690140845070423,0.4780976220275344,ToyConveyor
124,OSVM,210.0,355.0,2.0,0.001,ToyConveyor_03,367.0,799.0,0.5,0.5915492957746479,0.4593241551939925,ToyConveyor
125,OSVM,19.0,400.0,2.0,0.001,ToyConveyor_01,797.0,800.0,0.0001,0.0475,0.99625,ToyConveyor
126,OSVM,40.0,400.0,2.0,0.001,ToyConveyor_01,788.0,800.0,0.020929166666666665,0.1,0.985,ToyConveyor
127,OSVM,65.0,400.0,2.0,0.001,ToyConveyor_01,760.0,800.0,0.041758333333333335,0.1625,0.95,ToyConveyor
128,OSVM,74.0,400.0,2.0,0.001,ToyConveyor_01,734.0,800.0,0.0625875,0.185,0.9175,ToyConveyor
129,OSVM,88.0,400.0,2.0,0.001,ToyConveyor_01,711.0,800.0,0.08341666666666667,0.22,0.88875,ToyConveyor
130,OSVM,99.0,400.0,2.0,0.001,ToyConveyor_01,696.0,800.0,0.10424583333333333,0.2475,0.87,ToyConveyor
131,OSVM,116.0,400.0,2.0,0.001,ToyConveyor_01,669.0,800.0,0.125075,0.29,0.83625,ToyConveyor
132,OSVM,127.0,400.0,2.0,0.001,ToyConveyor_01,642.0,800.0,0.14590416666666664,0.3175,0.8025,ToyConveyor
133,OSVM,139.0,400.0,2.0,0.001,ToyConveyor_01,626.0,800.0,0.16673333333333332,0.3475,0.7825,ToyConveyor
134,OSVM,150.0,400.0,2.0,0.001,ToyConveyor_01,612.0,800.0,0.1875625,0.375,0.765,ToyConveyor
135,OSVM,158.0,400.0,2.0,0.001,ToyConveyor_01,600.0,800.0,0.20839166666666664,0.395,0.75,ToyConveyor
136,OSVM,168.0,400.0,2.0,0.001,ToyConveyor_01,585.0,800.0,0.22922083333333332,0.42,0.73125,ToyConveyor
137,OSVM,174.0,400.0,2.0,0.001,ToyConveyor_01,571.0,800.0,0.25005,0.435,0.71375,ToyConveyor
138,OSVM,178.0,400.0,2.0,0.001,ToyConveyor_01,555.0,800.0,0.27087916666666667,0.445,0.69375,ToyConveyor
139,OSVM,186.0,400.0,2.0,0.001,ToyConveyor_01,526.0,800.0,0.2917083333333333,0.465,0.6575,ToyConveyor
140,OSVM,190.0,400.0,2.0,0.001,ToyConveyor_01,510.0,800.0,0.31253749999999997,0.475,0.6375,ToyConveyor
141,OSVM,203.0,400.0,2.0,0.001,ToyConveyor_01,498.0,800.0,0.33336666666666664,0.5075,0.6225,ToyConveyor
142,OSVM,215.0,400.0,2.0,0.001,ToyConveyor_01,477.0,800.0,0.3541958333333333,0.5375,0.59625,ToyConveyor
143,OSVM,231.0,400.0,2.0,0.001,ToyConveyor_01,465.0,800.0,0.375025,0.5775,0.58125,ToyConveyor
144,OSVM,239.0,400.0,2.0,0.001,ToyConveyor_01,455.0,800.0,0.3958541666666666,0.5975,0.56875,ToyConveyor
145,OSVM,248.0,400.0,2.0,0.001,ToyConveyor_01,443.0,800.0,0.4166833333333333,0.62,0.55375,ToyConveyor
146,OSVM,257.0,400.0,2.0,0.001,ToyConveyor_01,436.0,800.0,0.43751249999999997,0.6425,0.545,ToyConveyor
147,OSVM,267.0,400.0,2.0,0.001,ToyConveyor_01,419.0,800.0,0.45834166666666665,0.6675,0.52375,ToyConveyor
148,OSVM,270.0,400.0,2.0,0.001,ToyConveyor_01,407.0,800.0,0.4791708333333333,0.675,0.50875,ToyConveyor
149,OSVM,276.0,400.0,2.0,0.001,ToyConveyor_01,391.0,800.0,0.5,0.69,0.48875,ToyConveyor
150,OSVM,3.0,355.0,2.0,0.001,ToyConveyor_02,793.0,800.0,0.0001,0.008450704225352112,0.99125,ToyConveyor
